source,title,company,work_format,requirements,salary
Habr Career,Senior QA AI-Продуктов (Python),СберЗдоровье,Офис / Гибрид,"Java, Python",180000
Habr Career,Java разработчик (СОПББ),ИТ-Холдинг Т1,Офис / Гибрид,Java,310000
Habr Career,Аналитик DWH,Джетлин,Офис / Гибрид,"SQL, BI, ClickHouse, Tableau, DWH, Greenplum",240000
Habr Career,Scrum-мастер,"АстраЗенека, Россия и Евразия",Офис / Гибрид,"Agile, Scrum, Управление проектами",130000
Habr Career,Дата аналитик,Bell Integrator,Офис / Гибрид,"SQL, Python, PostgreSQL",310000
Habr Career,Java разработчик со знанием платформы ЦФТ/ Проектная работа / АУТСТАФФ,Extyl,Офис / Гибрид,Java,120000
Habr Career,Аналитик данных,Bell Integrator,Офис / Гибрид,"SQL, Apache Hadoop, DWH, Microsoft Excel, Анализ данных",270000
Habr Career,SEO / GEO Specialist — SORTAGE,Sortage,Офис / Гибрид,"SEO-оптимизация, Разработка SEO-стратегии, Google Search Console, Яндекс.Метрика, Screaming Frog, Ahrefs, Semrush, Notion",90000
Habr Career,Разработчик DWH и BI ЕХД Oracle,МТС Банк,Офис / Гибрид,"DWH, Oracle PL/SQL, SQL, Oracle",130000
Habr Career,Java Developer,ITK academy,Офис / Гибрид,"Java, Kotlin, Git, Docker, Java Spring Framework, Apache Kafka, RabbitMQ",290000
Habr Career,SRE инженер (Kafka),Bell Integrator,Офис / Гибрид,"Linux, Apache Kafka, Kubernetes",180000
Habr Career,Аналитик DWH,Лига Цифровой Экономики,Офис / Гибрид,"SQL, DWH",230000
Habr Career,Frontend-разработчик,МТС Банк,Офис / Гибрид,"React, HTML, TypeScript",230000
Habr Career,"Старший менеджер продукта, Москва",VK,Офис / Гибрид,"Управление проектами, Построение команды, Управление продуктами, A/B тестирование",80000
Habr Career,Специалист по кибербезопасности AI/LLM-решений,СберЗдоровье,Офис / Гибрид,LLM,160000
Habr Career,ML Lead,CHOICEIT,Офис / Гибрид,"NumPy, Python, PyTorch, Машинное обучение",130000
Habr Career,.NET разработчик / Проектная работа / АУТСТАФФ,Extyl,Офис / Гибрид,".NET, C#, .NET Core, SQL",230000
Habr Career,Продуктовый аналитик,СОГАЗ,Офис / Гибрид,"SQL, Python",100000
Habr Career,Middle/Senior PHP-разработчик (Laravel + высоконагруженные системы),RSD,Офис / Гибрид,"PHP, RabbitMQ, PostgreSQL, ClickHouse, PostGIS, Laravel",270000
Habr Career,DevOps-инженер,Bell Integrator,Офис / Гибрид,"DevOps, SRE",110000
Habr Career,Технический продуктовый маркетолог / CRM-маркетолог,ANCOR,Офис / Гибрид,"Email маркетинг, Интернет маркетинг",260000
Habr Career,Технический продуктовый маркетолог / CRM-маркетолог,ANCOR,Офис / Гибрид,"Интернет маркетинг, Работа в команде",100000
Habr Career,Старший Java/Kotlin разработчик,МТС Банк,Офис / Гибрид,"Kotlin, Spring Boot, Java, SQL, Apache Kafka",260000
Habr Career,Лидер продукта/СРО цифровых витрин Yota,МегаФон,Офис / Гибрид,Управление продуктами,270000
Habr Career,Архитектор по обеспечению цифровых инноваций (LLM),МегаФон,Офис / Гибрид,LLM,140000
Habr Career,Аналитик КХД,Bell Integrator,Офис / Гибрид,"SQL, Python, ETL, DWH",270000
Habr Career,"Python Developer (AI,ML Москва)",Bell Integrator,Офис / Гибрид,"Python, LLM, LangChain",160000
Habr Career,Младший growth-маркетолог,ANCOR,Офис / Гибрид,"Работа в команде, Информационные технологии",80000
Habr Career,Backend-разработчик php (yii2),ТТК Диджитал,Офис / Гибрид,"PHP, Высоконагруженные системы, ООП, PostgreSQL, Oracle, Docker, Swagger, Разработка CRM, Базы данных, JavaScript",150000
Habr Career,Лидер разработки в команду расчетных продуктов B2B,ДОМ.РФ,Офис / Гибрид,Java,140000
Habr Career,Системный администратор по IT инфраструктуре,Лига Цифровой Экономики,Офис / Гибрид,"Nginx, Linux, Информационные технологии, Kubernetes, Apache Kafka",250000
Habr Career,Аналитик данных ,CINIMEX,Офис / Гибрид,Разработка ТЗ,150000
Habr Career,NLP-разработчик в Алису,Яндекс,Офис / Гибрид,NLP,80000
Habr Career,Техлид в команду высокоточных цифровых дорожных карт,Navio,Офис / Гибрид,"Python, Алгоритмы и структуры данных, Большие данные, Машинное обучение, Deep Learning, Нейронные сети, PyTorch, Компьютерное зрение",180000
Habr Career,Senior Java-разработчик (Integration),Лига Цифровой Экономики,Офис / Гибрид,"Spring Boot, Docker, Java, Kubernetes, Apache Kafka, Jenkins",250000
Habr Career,"Старший продуктовый аналитик, Москва",VK,Офис / Гибрид,"SQL, Python",300000
Habr Career,Дата инженер/Инженер по данным,Bell Integrator,Офис / Гибрид,"SQL, Python, Apache Spark, Apache Hadoop",170000
Habr Career,Разработчик на Java/Kotlin в Финтех Яндекса,Яндекс,Офис / Гибрид,"Java, Apache Kafka, PostgreSQL, Kubernetes, Redis, Kotlin, ClickHouse, Greenplum",100000
Habr Career,Архитектор стрима,IT_One,Офис / Гибрид,"Apache Hadoop, Apache Spark, ETL, REST, Apache Kafka, CI/CD",140000
Habr Career,ML-инженер,АМА,Офис / Гибрид,"Python, Git, Docker, SQL",230000
Habr Career,Аналитик BI/SQL,СОГАЗ,Офис / Гибрид,"QlikView, SQL, Python",230000
Habr Career,Ресерчер,Vital Partners,Офис / Гибрид,Английский язык,270000
Habr Career,Тимлид разработки в команду DWH,Авито,Офис / Гибрид,"Java, Apache Flink, Apache Kafka, DWH, Python, Kubernetes",240000
Habr Career,1С Аналитик,Aston,Офис / Гибрид,"1C: ERP, Высоконагруженные системы",90000
Habr Career,Machine learning Engineer,Джетлин,Офис / Гибрид,"Kubernetes, Apache Airflow, Redis, Prometheus, LLM, NLP, A/B тестирование, Python",80000
Habr Career,Платформенный SRE,Cloud.ru,Офис / Гибрид,CI/CD,230000
Habr Career, .Net Developer,Aston,Офис / Гибрид,"Apache Kafka, Microsoft SQL Server, ASP.NET WEB API, .NET",190000
Habr Career,BI Developer/BI разработчик,Aston,Офис / Гибрид,"SQL, Базы данных, Python, Pandas, Tableau, PowerBI",120000
Habr Career,Java Developer (AI / GenAI),СберСпасибо,Офис / Гибрид,JavaScript,120000
Habr Career,1C Developer,Aston,Офис / Гибрид,Разработка под 1С,300000
Habr Career,Solution Architect,"АстраЗенека, Россия и Евразия",Офис / Гибрид,"Docker, PostgreSQL, Redis, Kubernetes, REST",160000
Habr Career,Golang-разработчик в команду инструментов продуктовой аналитики,Т-Банк,Офис / Гибрид,"PostgreSQL, Apache Kafka, Apache Cassandra, Prometheus, Golang, Kubernetes",160000
Habr Career,ML Engineer,Aston,Офис / Гибрид,"Apache Kafka, Сеть хранения данных, REST, JSON, HTTP, WebSockets, RESTful API, Langgraph, Git, Docker",100000
Habr Career, QA Automation Engineer (Python),Aston,Офис / Гибрид,"Python, Apache Kafka, Apache JMeter",260000
Habr Career,Product Manager (Сегменты),СберЗдоровье,Офис / Гибрид,Проведение исследований,230000
Habr Career,Аналитик,True Engineering,Офис / Гибрид,"SQL, PostgreSQL, Системный анализ, Бизнес аналитика, BPMN, UML, Анализ требований, ER-диаграммы",230000
Habr Career,Senior AppSec-инженер,Золотое Яблоко,Офис / Гибрид,"OWASP, Тестирование на проникновение, Burp Suite",100000
Habr Career,ML-инженер,ГНИВЦ,Офис / Гибрид,"Git, PostgreSQL, Python",270000
Habr Career, Performance Engineer,Aston,Офис / Гибрид,"Apache JMeter, Linux",310000
Habr Career,Solutions Architect,Aston,Офис / Гибрид,"Микросервисная архитектура, ArchiMate, Высоконагруженные системы, REST, Apache Kafka, RabbitMQ, SOAP, Java",290000
Habr Career,"AI application security engineer, middle+/senior",Контур,Офис / Гибрид,"LLM, Linux",310000
Habr Career,CTO «Интерактивные AI-сервисы»,СберЗдоровье,Офис / Гибрид,"RnD, LLM, Agentic systems ",80000
